part;dataset;method;cls;n_clusters;n_estimators;learning_rate;subsample;max_depth;colsample_bytree;nr_events;metric;score
1;production;cluster_laststate;xgb;2;100;0.02;0.5;3;0.6;1;mae;1068959.4490727633
1;production;cluster_laststate;xgb;2;100;0.02;0.5;3;0.9;1;mae;1049480.3272225368
1;production;cluster_laststate;xgb;2;100;0.02;0.5;5;0.6;1;mae;1070896.8732835504
1;production;cluster_laststate;xgb;2;100;0.02;0.5;5;0.9;1;mae;1037034.0420972537
1;production;cluster_laststate;xgb;2;100;0.02;0.5;7;0.6;1;mae;1057251.6899950453
1;production;cluster_laststate;xgb;2;100;0.02;0.5;7;0.9;1;mae;1033325.0578549688
1;production;cluster_laststate;xgb;2;100;0.02;0.8;3;0.6;1;mae;1065826.0367709512
1;production;cluster_laststate;xgb;2;100;0.02;0.8;3;0.9;1;mae;1048776.8565260475
1;production;cluster_laststate;xgb;2;100;0.02;0.8;5;0.6;1;mae;1092377.451390855
1;production;cluster_laststate;xgb;2;100;0.02;0.8;5;0.9;1;mae;1061868.1050396375
1;production;cluster_laststate;xgb;2;100;0.02;0.8;7;0.6;1;mae;1088587.8892890005
1;production;cluster_laststate;xgb;2;100;0.02;0.8;7;0.9;1;mae;1055480.3253424051
1;production;cluster_laststate;xgb;2;100;0.04;0.5;3;0.6;1;mae;1042272.7366400056
1;production;cluster_laststate;xgb;2;100;0.04;0.5;3;0.9;1;mae;1011981.0634113109
1;production;cluster_laststate;xgb;2;100;0.04;0.5;5;0.6;1;mae;1045088.8976323613
1;production;cluster_laststate;xgb;2;100;0.04;0.5;5;0.9;1;mae;1004278.0997973882
1;production;cluster_laststate;xgb;2;100;0.04;0.5;7;0.6;1;mae;1028922.6704096033
1;production;cluster_laststate;xgb;2;100;0.04;0.5;7;0.9;1;mae;1012237.2226208593
1;production;cluster_laststate;xgb;2;100;0.04;0.8;3;0.6;1;mae;1034325.6164575665
1;production;cluster_laststate;xgb;2;100;0.04;0.8;3;0.9;1;mae;1015267.7758883069
1;production;cluster_laststate;xgb;2;100;0.04;0.8;5;0.6;1;mae;1046443.5890104093
1;production;cluster_laststate;xgb;2;100;0.04;0.8;5;0.9;1;mae;1014637.2455761608
1;production;cluster_laststate;xgb;2;100;0.04;0.8;7;0.6;1;mae;1071336.792468856
1;production;cluster_laststate;xgb;2;100;0.04;0.8;7;0.9;1;mae;1034236.5384652817
1;production;cluster_laststate;xgb;2;100;0.06;0.5;3;0.6;1;mae;1036886.5604328229
1;production;cluster_laststate;xgb;2;100;0.06;0.5;3;0.9;1;mae;1000417.2749664894
1;production;cluster_laststate;xgb;2;100;0.06;0.5;5;0.6;1;mae;1053698.7426354138
1;production;cluster_laststate;xgb;2;100;0.06;0.5;5;0.9;1;mae;1003159.2619548724
1;production;cluster_laststate;xgb;2;100;0.06;0.5;7;0.6;1;mae;1023049.9911086363
1;production;cluster_laststate;xgb;2;100;0.06;0.5;7;0.9;1;mae;1019481.4620368241
1;production;cluster_laststate;xgb;2;100;0.06;0.8;3;0.6;1;mae;1037860.6611986171
1;production;cluster_laststate;xgb;2;100;0.06;0.8;3;0.9;1;mae;1009383.1880728871
1;production;cluster_laststate;xgb;2;100;0.06;0.8;5;0.6;1;mae;1055100.143617727
1;production;cluster_laststate;xgb;2;100;0.06;0.8;5;0.9;1;mae;1018660.3275645549
1;production;cluster_laststate;xgb;2;100;0.06;0.8;7;0.6;1;mae;1058211.0709362612
1;production;cluster_laststate;xgb;2;100;0.06;0.8;7;0.9;1;mae;1020212.624722404
1;production;cluster_laststate;xgb;2;500;0.02;0.5;3;0.6;1;mae;1043779.2488840866
1;production;cluster_laststate;xgb;2;500;0.02;0.5;3;0.9;1;mae;1018944.619057678
1;production;cluster_laststate;xgb;2;500;0.02;0.5;5;0.6;1;mae;1046804.3518279303
1;production;cluster_laststate;xgb;2;500;0.02;0.5;5;0.9;1;mae;998619.8173297264
1;production;cluster_laststate;xgb;2;500;0.02;0.5;7;0.6;1;mae;1041286.2237887528
1;production;cluster_laststate;xgb;2;500;0.02;0.5;7;0.9;1;mae;995634.6653573024
1;production;cluster_laststate;xgb;2;500;0.02;0.8;3;0.6;1;mae;1057109.6782209973
1;production;cluster_laststate;xgb;2;500;0.02;0.8;3;0.9;1;mae;1024712.509159559
1;production;cluster_laststate;xgb;2;500;0.02;0.8;5;0.6;1;mae;1050009.9222872464
1;production;cluster_laststate;xgb;2;500;0.02;0.8;5;0.9;1;mae;1031959.3845440183
1;production;cluster_laststate;xgb;2;500;0.02;0.8;7;0.6;1;mae;1047824.3176346949
1;production;cluster_laststate;xgb;2;500;0.02;0.8;7;0.9;1;mae;1037299.9962576394
1;production;cluster_laststate;xgb;2;500;0.04;0.5;3;0.6;1;mae;1078732.4484458915
1;production;cluster_laststate;xgb;2;500;0.04;0.5;3;0.9;1;mae;1057272.6655406153
1;production;cluster_laststate;xgb;2;500;0.04;0.5;5;0.6;1;mae;1073504.914921848
1;production;cluster_laststate;xgb;2;500;0.04;0.5;5;0.9;1;mae;1020580.059586349
1;production;cluster_laststate;xgb;2;500;0.04;0.5;7;0.6;1;mae;1043828.7255343721
1;production;cluster_laststate;xgb;2;500;0.04;0.5;7;0.9;1;mae;1025281.5628601281
1;production;cluster_laststate;xgb;2;500;0.04;0.8;3;0.6;1;mae;1086996.875968406
1;production;cluster_laststate;xgb;2;500;0.04;0.8;3;0.9;1;mae;1056079.0026402024
1;production;cluster_laststate;xgb;2;500;0.04;0.8;5;0.6;1;mae;1069497.719771492
1;production;cluster_laststate;xgb;2;500;0.04;0.8;5;0.9;1;mae;1032760.733523411
1;production;cluster_laststate;xgb;2;500;0.04;0.8;7;0.6;1;mae;1080597.183179015
1;production;cluster_laststate;xgb;2;500;0.04;0.8;7;0.9;1;mae;1040117.748429537
1;production;cluster_laststate;xgb;2;500;0.06;0.5;3;0.6;1;mae;1105935.353185496
1;production;cluster_laststate;xgb;2;500;0.06;0.5;3;0.9;1;mae;1054247.6469897986
1;production;cluster_laststate;xgb;2;500;0.06;0.5;5;0.6;1;mae;1078680.9265841767
1;production;cluster_laststate;xgb;2;500;0.06;0.5;5;0.9;1;mae;1030580.1868107106
1;production;cluster_laststate;xgb;2;500;0.06;0.5;7;0.6;1;mae;1038446.7716934014
1;production;cluster_laststate;xgb;2;500;0.06;0.5;7;0.9;1;mae;1032256.6690758157
1;production;cluster_laststate;xgb;2;500;0.06;0.8;3;0.6;1;mae;1097354.5625456208
1;production;cluster_laststate;xgb;2;500;0.06;0.8;3;0.9;1;mae;1073460.2086561122
1;production;cluster_laststate;xgb;2;500;0.06;0.8;5;0.6;1;mae;1081699.507759414
1;production;cluster_laststate;xgb;2;500;0.06;0.8;5;0.9;1;mae;1049096.7445603367
1;production;cluster_laststate;xgb;2;500;0.06;0.8;7;0.6;1;mae;1067669.6717057882
1;production;cluster_laststate;xgb;2;500;0.06;0.8;7;0.9;1;mae;1031423.0797435722
1;production;cluster_laststate;xgb;4;100;0.02;0.5;3;0.6;1;mae;1118407.7334017553
1;production;cluster_laststate;xgb;4;100;0.02;0.5;3;0.9;1;mae;1102230.7100438846
1;production;cluster_laststate;xgb;4;100;0.02;0.5;5;0.6;1;mae;1110812.1427838334
1;production;cluster_laststate;xgb;4;100;0.02;0.5;5;0.9;1;mae;1103616.901436863
1;production;cluster_laststate;xgb;4;100;0.02;0.5;7;0.6;1;mae;1101562.1006157985
1;production;cluster_laststate;xgb;4;100;0.02;0.5;7;0.9;1;mae;1095461.5652073896
1;production;cluster_laststate;xgb;4;100;0.02;0.8;3;0.6;1;mae;1130600.1653100227
1;production;cluster_laststate;xgb;4;100;0.02;0.8;3;0.9;1;mae;1119851.5763731597
1;production;cluster_laststate;xgb;4;100;0.02;0.8;5;0.6;1;mae;1149841.3890412655
1;production;cluster_laststate;xgb;4;100;0.02;0.8;5;0.9;1;mae;1137673.8930315685
1;production;cluster_laststate;xgb;4;100;0.02;0.8;7;0.6;1;mae;1138102.7415150765
1;production;cluster_laststate;xgb;4;100;0.02;0.8;7;0.9;1;mae;1115469.4085282772
1;production;cluster_laststate;xgb;4;100;0.04;0.5;3;0.6;1;mae;1141660.59375
1;production;cluster_laststate;xgb;4;100;0.04;0.5;3;0.9;1;mae;1134554.5220130237
1;production;cluster_laststate;xgb;4;100;0.04;0.5;5;0.6;1;mae;1143839.4321139758
1;production;cluster_laststate;xgb;4;100;0.04;0.5;5;0.9;1;mae;1129543.5899156374
1;production;cluster_laststate;xgb;4;100;0.04;0.5;7;0.6;1;mae;1112880.9752552556
1;production;cluster_laststate;xgb;4;100;0.04;0.5;7;0.9;1;mae;1126516.541126774
1;production;cluster_laststate;xgb;4;100;0.04;0.8;3;0.6;1;mae;1148296.1198241082
1;production;cluster_laststate;xgb;4;100;0.04;0.8;3;0.9;1;mae;1143393.8592776756
1;production;cluster_laststate;xgb;4;100;0.04;0.8;5;0.6;1;mae;1155812.1649295725
1;production;cluster_laststate;xgb;4;100;0.04;0.8;5;0.9;1;mae;1158237.601367851
1;production;cluster_laststate;xgb;4;100;0.04;0.8;7;0.6;1;mae;1152113.6369576373
1;production;cluster_laststate;xgb;4;100;0.04;0.8;7;0.9;1;mae;1147715.690640926
1;production;cluster_laststate;xgb;4;100;0.06;0.5;3;0.6;1;mae;1157707.5021831647
1;production;cluster_laststate;xgb;4;100;0.06;0.5;3;0.9;1;mae;1149991.8307693498
1;production;cluster_laststate;xgb;4;100;0.06;0.5;5;0.6;1;mae;1154878.4002844528
1;production;cluster_laststate;xgb;4;100;0.06;0.5;5;0.9;1;mae;1141319.5577677363
1;production;cluster_laststate;xgb;4;100;0.06;0.5;7;0.6;1;mae;1150370.0370770257
1;production;cluster_laststate;xgb;4;100;0.06;0.5;7;0.9;1;mae;1140589.8184887723
1;production;cluster_laststate;xgb;4;100;0.06;0.8;3;0.6;1;mae;1156556.4028895411
1;production;cluster_laststate;xgb;4;100;0.06;0.8;3;0.9;1;mae;1142137.6624079843
1;production;cluster_laststate;xgb;4;100;0.06;0.8;5;0.6;1;mae;1184823.5634865162
1;production;cluster_laststate;xgb;4;100;0.06;0.8;5;0.9;1;mae;1181009.9792002141
1;production;cluster_laststate;xgb;4;100;0.06;0.8;7;0.6;1;mae;1165238.7697767732
1;production;cluster_laststate;xgb;4;100;0.06;0.8;7;0.9;1;mae;1156644.4768771455
1;production;cluster_laststate;xgb;4;500;0.02;0.5;3;0.6;1;mae;1134432.1347269164
1;production;cluster_laststate;xgb;4;500;0.02;0.5;3;0.9;1;mae;1133243.029740365
1;production;cluster_laststate;xgb;4;500;0.02;0.5;5;0.6;1;mae;1125644.3651525339
1;production;cluster_laststate;xgb;4;500;0.02;0.5;5;0.9;1;mae;1124825.242678546
1;production;cluster_laststate;xgb;4;500;0.02;0.5;7;0.6;1;mae;1119633.2236560376
1;production;cluster_laststate;xgb;4;500;0.02;0.5;7;0.9;1;mae;1124629.762016253
1;production;cluster_laststate;xgb;4;500;0.02;0.8;3;0.6;1;mae;1157679.28917199
1;production;cluster_laststate;xgb;4;500;0.02;0.8;3;0.9;1;mae;1141688.6832597503
1;production;cluster_laststate;xgb;4;500;0.02;0.8;5;0.6;1;mae;1170827.811765781
1;production;cluster_laststate;xgb;4;500;0.02;0.8;5;0.9;1;mae;1161729.8445314988
1;production;cluster_laststate;xgb;4;500;0.02;0.8;7;0.6;1;mae;1149743.6811219298
1;production;cluster_laststate;xgb;4;500;0.02;0.8;7;0.9;1;mae;1157052.6965567048
1;production;cluster_laststate;xgb;4;500;0.04;0.5;3;0.6;1;mae;1139747.0903242896
1;production;cluster_laststate;xgb;4;500;0.04;0.5;3;0.9;1;mae;1128621.937607278
1;production;cluster_laststate;xgb;4;500;0.04;0.5;5;0.6;1;mae;1150106.3332815375
1;production;cluster_laststate;xgb;4;500;0.04;0.5;5;0.9;1;mae;1124253.2926751177
1;production;cluster_laststate;xgb;4;500;0.04;0.5;7;0.6;1;mae;1117880.9920865465
1;production;cluster_laststate;xgb;4;500;0.04;0.5;7;0.9;1;mae;1130736.0735452897
1;production;cluster_laststate;xgb;4;500;0.04;0.8;3;0.6;1;mae;1169969.2250517588
1;production;cluster_laststate;xgb;4;500;0.04;0.8;3;0.9;1;mae;1165208.4987818545
1;production;cluster_laststate;xgb;4;500;0.04;0.8;5;0.6;1;mae;1183648.9149792716
1;production;cluster_laststate;xgb;4;500;0.04;0.8;5;0.9;1;mae;1164353.1185710558
1;production;cluster_laststate;xgb;4;500;0.04;0.8;7;0.6;1;mae;1167624.2998830033
1;production;cluster_laststate;xgb;4;500;0.04;0.8;7;0.9;1;mae;1162956.6342144422
1;production;cluster_laststate;xgb;4;500;0.06;0.5;3;0.6;1;mae;1169283.668796008
1;production;cluster_laststate;xgb;4;500;0.06;0.5;3;0.9;1;mae;1133143.174790863
1;production;cluster_laststate;xgb;4;500;0.06;0.5;5;0.6;1;mae;1162821.0336101183
1;production;cluster_laststate;xgb;4;500;0.06;0.5;5;0.9;1;mae;1153443.62777983
1;production;cluster_laststate;xgb;4;500;0.06;0.5;7;0.6;1;mae;1158057.1346608354
1;production;cluster_laststate;xgb;4;500;0.06;0.5;7;0.9;1;mae;1146125.7551504548
1;production;cluster_laststate;xgb;4;500;0.06;0.8;3;0.6;1;mae;1182975.6789064158
1;production;cluster_laststate;xgb;4;500;0.06;0.8;3;0.9;1;mae;1173721.4268999284
1;production;cluster_laststate;xgb;4;500;0.06;0.8;5;0.6;1;mae;1192586.81955077
1;production;cluster_laststate;xgb;4;500;0.06;0.8;5;0.9;1;mae;1190978.2285457624
1;production;cluster_laststate;xgb;4;500;0.06;0.8;7;0.6;1;mae;1172923.8255447957
1;production;cluster_laststate;xgb;4;500;0.06;0.8;7;0.9;1;mae;1163417.6707955832
1;production;cluster_laststate;xgb;6;100;0.02;0.5;3;0.6;1;mae;1081293.6346439694
1;production;cluster_laststate;xgb;6;100;0.02;0.5;3;0.9;1;mae;1069401.822515572
1;production;cluster_laststate;xgb;6;100;0.02;0.5;5;0.6;1;mae;1071368.1665885122
1;production;cluster_laststate;xgb;6;100;0.02;0.5;5;0.9;1;mae;1080331.145719051
1;production;cluster_laststate;xgb;6;100;0.02;0.5;7;0.6;1;mae;1072107.1321887388
1;production;cluster_laststate;xgb;6;100;0.02;0.5;7;0.9;1;mae;1065116.646564004
1;production;cluster_laststate;xgb;6;100;0.02;0.8;3;0.6;1;mae;1086770.408700807
1;production;cluster_laststate;xgb;6;100;0.02;0.8;3;0.9;1;mae;1081667.0249681484
1;production;cluster_laststate;xgb;6;100;0.02;0.8;5;0.6;1;mae;1105038.345869019
1;production;cluster_laststate;xgb;6;100;0.02;0.8;5;0.9;1;mae;1117393.7315039283
1;production;cluster_laststate;xgb;6;100;0.02;0.8;7;0.6;1;mae;1087828.941822091
1;production;cluster_laststate;xgb;6;100;0.02;0.8;7;0.9;1;mae;1085035.049405436
1;production;cluster_laststate;xgb;6;100;0.04;0.5;3;0.6;1;mae;1087438.3046698046
1;production;cluster_laststate;xgb;6;100;0.04;0.5;3;0.9;1;mae;1094353.8186358649
1;production;cluster_laststate;xgb;6;100;0.04;0.5;5;0.6;1;mae;1093190.3145410488
1;production;cluster_laststate;xgb;6;100;0.04;0.5;5;0.9;1;mae;1094835.6037213334
1;production;cluster_laststate;xgb;6;100;0.04;0.5;7;0.6;1;mae;1086480.2515588503
1;production;cluster_laststate;xgb;6;100;0.04;0.5;7;0.9;1;mae;1088641.3474754256
1;production;cluster_laststate;xgb;6;100;0.04;0.8;3;0.6;1;mae;1101233.5152290664
1;production;cluster_laststate;xgb;6;100;0.04;0.8;3;0.9;1;mae;1134296.9697232447
1;production;cluster_laststate;xgb;6;100;0.04;0.8;5;0.6;1;mae;1106616.2138948366
1;production;cluster_laststate;xgb;6;100;0.04;0.8;5;0.9;1;mae;1151679.3194631229
1;production;cluster_laststate;xgb;6;100;0.04;0.8;7;0.6;1;mae;1100647.6671879424
1;production;cluster_laststate;xgb;6;100;0.04;0.8;7;0.9;1;mae;1107691.0660938164
1;production;cluster_laststate;xgb;6;100;0.06;0.5;3;0.6;1;mae;1113196.6712451559
1;production;cluster_laststate;xgb;6;100;0.06;0.5;3;0.9;1;mae;1105706.3513496027
1;production;cluster_laststate;xgb;6;100;0.06;0.5;5;0.6;1;mae;1110997.8414352261
1;production;cluster_laststate;xgb;6;100;0.06;0.5;5;0.9;1;mae;1129937.4233973536
1;production;cluster_laststate;xgb;6;100;0.06;0.5;7;0.6;1;mae;1089870.4599620434
1;production;cluster_laststate;xgb;6;100;0.06;0.5;7;0.9;1;mae;1111554.4841692916
1;production;cluster_laststate;xgb;6;100;0.06;0.8;3;0.6;1;mae;1125872.1043303027
1;production;cluster_laststate;xgb;6;100;0.06;0.8;3;0.9;1;mae;1153025.2908563667
1;production;cluster_laststate;xgb;6;100;0.06;0.8;5;0.6;1;mae;1129343.4748803352
1;production;cluster_laststate;xgb;6;100;0.06;0.8;5;0.9;1;mae;1161268.2303255282
1;production;cluster_laststate;xgb;6;100;0.06;0.8;7;0.6;1;mae;1102372.8118198346
1;production;cluster_laststate;xgb;6;100;0.06;0.8;7;0.9;1;mae;1138068.9855716485
1;production;cluster_laststate;xgb;6;500;0.02;0.5;3;0.6;1;mae;1128763.9684782103
1;production;cluster_laststate;xgb;6;500;0.02;0.5;3;0.9;1;mae;1131882.365178524
1;production;cluster_laststate;xgb;6;500;0.02;0.5;5;0.6;1;mae;1110074.7271575064
1;production;cluster_laststate;xgb;6;500;0.02;0.5;5;0.9;1;mae;1127175.5433718723
1;production;cluster_laststate;xgb;6;500;0.02;0.5;7;0.6;1;mae;1100903.047782993
1;production;cluster_laststate;xgb;6;500;0.02;0.5;7;0.9;1;mae;1114437.4225120328
1;production;cluster_laststate;xgb;6;500;0.02;0.8;3;0.6;1;mae;1143622.7723271165
1;production;cluster_laststate;xgb;6;500;0.02;0.8;3;0.9;1;mae;1161129.6609099617
1;production;cluster_laststate;xgb;6;500;0.02;0.8;5;0.6;1;mae;1136294.1102326717
1;production;cluster_laststate;xgb;6;500;0.02;0.8;5;0.9;1;mae;1155979.8621421114
1;production;cluster_laststate;xgb;6;500;0.02;0.8;7;0.6;1;mae;1112045.645554263
1;production;cluster_laststate;xgb;6;500;0.02;0.8;7;0.9;1;mae;1120105.3059057146
1;production;cluster_laststate;xgb;6;500;0.04;0.5;3;0.6;1;mae;1141090.0460076511
1;production;cluster_laststate;xgb;6;500;0.04;0.5;3;0.9;1;mae;1133412.5663201925
1;production;cluster_laststate;xgb;6;500;0.04;0.5;5;0.6;1;mae;1112028.791888089
1;production;cluster_laststate;xgb;6;500;0.04;0.5;5;0.9;1;mae;1111965.315278171
1;production;cluster_laststate;xgb;6;500;0.04;0.5;7;0.6;1;mae;1107054.2316886235
1;production;cluster_laststate;xgb;6;500;0.04;0.5;7;0.9;1;mae;1108219.3131934367
1;production;cluster_laststate;xgb;6;500;0.04;0.8;3;0.6;1;mae;1148208.5628710496
1;production;cluster_laststate;xgb;6;500;0.04;0.8;3;0.9;1;mae;1175535.2440462038
1;production;cluster_laststate;xgb;6;500;0.04;0.8;5;0.6;1;mae;1132146.5079739701
1;production;cluster_laststate;xgb;6;500;0.04;0.8;5;0.9;1;mae;1168762.8456812822
1;production;cluster_laststate;xgb;6;500;0.04;0.8;7;0.6;1;mae;1116831.5715666583
1;production;cluster_laststate;xgb;6;500;0.04;0.8;7;0.9;1;mae;1121299.8654246002
1;production;cluster_laststate;xgb;6;500;0.06;0.5;3;0.6;1;mae;1146373.368041854
1;production;cluster_laststate;xgb;6;500;0.06;0.5;3;0.9;1;mae;1138089.7061116444
1;production;cluster_laststate;xgb;6;500;0.06;0.5;5;0.6;1;mae;1123684.0157828066
1;production;cluster_laststate;xgb;6;500;0.06;0.5;5;0.9;1;mae;1144381.2157824333
1;production;cluster_laststate;xgb;6;500;0.06;0.5;7;0.6;1;mae;1104595.1795968113
1;production;cluster_laststate;xgb;6;500;0.06;0.5;7;0.9;1;mae;1114635.977378975
1;production;cluster_laststate;xgb;6;500;0.06;0.8;3;0.6;1;mae;1157818.1220255212
1;production;cluster_laststate;xgb;6;500;0.06;0.8;3;0.9;1;mae;1199502.0209148058
1;production;cluster_laststate;xgb;6;500;0.06;0.8;5;0.6;1;mae;1142718.9937778702
1;production;cluster_laststate;xgb;6;500;0.06;0.8;5;0.9;1;mae;1162594.8956413572
